"%s already exist","%s已存在"
"%s already exists","%s已存在"
"-- Please Select --","-- 请选择 --"
"Store with the same code","商店代码重复"
"System","系统"
"System Log File Name","系统日志文件名"
"Template Path Hints","模板路径提示"
"Templates","模板"
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","您输入的 %s 无效。请确保地址符合如下格式：""http://domain.com/"" ."
"Themes","主题"
"This category and all its child elements","此目录记所有子元素"
"This category and its child categories only","仅限此目录及其子目录"
"This category and its products only","仅限此目录及其下属商品"
"This category only","仅限该分类"
"This is a required field.","这是必填字段。"
"This store cannot be deleted","无法删除商店"
"This store cannot be deleted.","无法删除商店。"
"This store view cannot be deleted","无法删除商店视图"
"This store view cannot be deleted.","无法删除商店视图。"
"This website cannot be deleted","无法删除网站"
"This website cannot be deleted.","无法删除网站。"
"This will be displayed just before body closing tag","在这里输入的将被显示在主体之前"
"This will be included before head closing tag in page HTML","这里输入的将包含在页面HTML头标签之前"
"Timezone","时区"
"Title Prefix","标题前缀"
"Title Suffix","标题后缀"
"Translate Inline","内联翻译"
"Translate cache should be disabled for both Frontend and Admin inline translations","使用前后台内联翻译均须禁用翻译缓存"
"Translations","翻译"
"Unable to delete store view. Please, try again later.","无法删除商店视图。请稍后重试。"
"Unable to delete store. Please, try again later.","无法删除商店。请稍后重试。"
"Unable to delete website. Please, try again later.","无法删除网站。请稍后重试。"
"Unable to proceed. Please, try again","无法继续，请稍后再试。"
"Unknown scope ""%s""","未知范围""%s"""
"Unsecure","未加密"
"Url Options","网址选项"
"Use HTTP Only","Use HTTP Only"
"Use Secure URLs in Admin","管理界面使用安全链接"
"Use Secure URLs in Frontend","前台使用安全链接"
"Use Web Server Rewrites","使用服务器网址重写"
"Use custom admin URL","使用自定义管理 URL"
"Validate HTTP_USER_AGENT","检验 HTTP_USER_AGENT"
"Validate HTTP_VIA","检验 HTTP_VIA"
"Validate HTTP_X_FORWARDED_FOR","检验 HTTP_X_FORWARDED_FOR"
"Validate REMOTE_ADDR","检验 REMOTE_ADDR"
"Values less than 60 are ignored.","Values less than 60 are ignored."
"Web","网站"
"Website","网站"
"Website Information","网站信息"
"Website Name","网站名称"
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","网站代码只能含字母(a-z)、数字(0-9)或下划线(_)，第一个字符必须是字母"
"Website doesn't exist","网站不存在"
"Website was successfully deleted.","成功删除网站。"
"Website was successfully saved","成功保存网站"
"Website with the same code","网站代码重复"
"Weekend Days","周末"
"Welcome Text","欢迎文字"
"Wrong number of arguments for %s","%s的参数数量错误"
"Yes","Yes"
"Your order can not be completed at this time as there is no payment methods available for it.","缺少可用的支付方式，暂时无法完成您的订单。"
"Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order can not be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your session has been expired, you will be relogged in now.","您的会话已过期，现在重新登录。"
"Search","Search"
"Go","Go"
"Search entire store here...","Search entire store here..."
"Compare Products","Compare Products"
"Back to Main Product Info","Back to Main Product Info"
"You have no items to compare.","You have no items to compare."
"Clear All","Clear All"
"Search entire store here...","Search entire store here..."
"Search","Search"
"About the calendar","About the calendar"
"For latest version visit: %s","For latest version visit: %s"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Date selection:","Date selection:"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"Time selection:","Time selection:"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"Go Today","Go Today"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Select date","Select date"
"Drag to move","Drag to move"
"Close","Close"
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"Time:","Time:"
